dark term,source,definition,definition source
0day,darkode-rank_laplace_1.0,A zero-day (also known as 0-day) vulnerability is a computer-software vulnerability that is unknown to those who should be interested in mitigating the vulnerability (including the vendor of the target software).,https://en.wikipedia.org/wiki/Zero-day_(computing)
a-squared,darkode-rank_laplace_1.0,A-squared Free is a useful safety tool that allows you to keep your computer safe against any kind of malware.,https://a-squared-free.en.uptodown.com/windows
adware,darkode-rank_laplace_1.0,"Adware, often called advertising-supported software by its developers, is software that generates revenue for its developer by automatically generating online advertisements in the user interface of the software or on a screen presented to the user during the installation process.",https://en.wikipedia.org/wiki/Adware
aircrack,darkode-rank_laplace_1.0,"Aircrack-ng is a network software suite consisting of a detector, packet sniffer, WEP and WPA/WPA2-PSK cracker and analysis tool for 802.11 wireless LANs.",https://en.wikipedia.org/wiki/Aircrack-ng
anti-sec,darkode-rank_laplace_1.0,"Operation Anti-Security, also referred to as Operation AntiSec or #AntiSec, is a series of hacking attacks performed by members of the hacking group LulzSec and Anonymous, and others inspired by the announcement of the operation. ",https://en.wikipedia.org/wiki/Operation_AntiSec
autoit,darkode-rank_laplace_1.0,"AutoIt is a freeware programming language for Microsoft Windows. In its earliest release, it was primarily intended to create automation scripts for Microsoft Windows programs but has since grown to include enhancements in both programming language design and overall functionality.",https://en.wikipedia.org/wiki/AutoIt
backdoored,hackforums-rank_laplace_1.0,"A backdoor is a typically covert method of bypassing normal authentication or encryption in a computer, product, embedded device, or its embodiment.",https://en.wikipedia.org/wiki/Backdoor_(computing)
bcos,darkode-rank_laplace_1.0,"(Internet slang, text messaging) Abbreviation of because.",https://en.wiktionary.org/wiki/bcos
bfbot,darkode-rank_laplace_1.0,"Bf Bot Manager is software designed to help you automate your betting and trading at Betfair betting exchange. Bf Bot Manager allows you to run unlimited number of strategies/bots at the same time. You can have one strategy betting on favourites, second one trading on horse races, third one betting on tennis matches and several strategies betting on football events or tipster tips.",https://betfair-datascientists.github.io/thirdPartyTools/BfBotManager/BfBotManager/
bhai,hackforums-rank_laplace_1.0,Translated from hindi/gujarati (plus others) as brother.,https://www.urbandictionary.com/define.php?term=bhai
bhw,darkode-rank_laplace_1.0,"BlackHatWorld (BHW) is an internet forum focused on black-hat search engine optimization (SEO) techniques and services, often known as spamdexing.",https://en.wikipedia.org/wiki/BlackHatWorld
blackhatworld,darkode-rank_laplace_1.0,"BlackHatWorld (BHW) is an internet forum focused on black-hat search engine optimization (SEO) techniques and services, often known as spamdexing.",https://en.wikipedia.org/wiki/BlackHatWorld
blackhole,darkode-rank_laplace_1.0,"The Blackhole exploit kit is, as of 2012, the most prevalent web threat, where 29% of all web threats detected by Sophos and 91% by AVG are due to this exploit kit.[1] Its purpose is to deliver a malicious payload to a victim's computer.",https://en.wikipedia.org/wiki/Blackhole_exploit_kit
blackshades,darkode-rank_laplace_1.0,Blackshades is a malicious trojan horse used by hackers to control infected computers remotely. ,https://en.wikipedia.org/wiki/Blackshades
booga,darkode-rank_laplace_1.0,A term of endearment,https://www.urbandictionary.com/define.php?term=Booga
bootkit,darkode-rank_laplace_1.0,A bootkit is a type of malicious infection which targets the Master Boot Record located on the physical motherboard of the computer. Attaching malicious software in this manner can allow for a malicious program to be executed prior to the loading of the operating system.,https://blog.malwarebytes.com/detections/bootkit/
botnet,hackforums-rank_laplace_1.0,"A botnet is a number of Internet-connected devices, each of which is running one or more bots.",https://en.wikipedia.org/wiki/Botnet
bruteforcer,darkode-rank_laplace_1.0,BruteForcer is a client-server multithreaded application for bruteforce cracking passwords.,http://bruteforcer.sourceforge.net/
bruter,darkode-rank_laplace_1.0,Bruter is a parallel network login brute-forcer on Win32. This tool is intended to demonstrate the importance of choosing strong passwords.,https://sourceforge.net/projects/worawita/
btc,hackforums-rank_laplace_1.0,Bitcoins. Online currency,https://www.urbandictionary.com/define.php?term=BTC
c99,darkode-rank_laplace_1.0,"C99 is an informal name for ISO/IEC 9899:1999, a past version of the C programming language standard.",https://en.wikipedia.org/wiki/C99
cat-quickheal,hackforums-rank_laplace_1.0,"Quick Heal Technologies Ltd, is an Indian cybersecurity software company headquartered in Pune, Maharashtra, India. ",https://en.wikipedia.org/wiki/Quick_Heal
